Date : 2023-05-20 14:44:25
Directory : c:\Users\danii\OneDrive\Desktop\diploma\testo-front\src
Total : 109 files,  7155 codes, 226 comments, 1031 blanks, all 8412 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| c:\Users\danii\OneDrive\Desktop\diploma\testo-front\src\modules\Forms\components\create-or-edit-form\question-types\SingleOptionQuestion.vue                         | vue        |        124 |          0 |         18 |        142 |
| c:\Users\danii\OneDrive\Desktop\diploma\testo-front\src\modules\Forms\components\create-or-edit-form\question-types\SingleOptionsGridQuestion.vue                    | vue        |        162 |          0 |         21 |        183 |
| c:\Users\danii\OneDrive\Desktop\diploma\testo-front\src\modules\Forms\components\create-or-edit-form\question-types\index.js                                         | JavaScript |         14 |          0 |          5 |         19 |
| c:\Users\danii\OneDrive\Desktop\diploma\testo-front\src\modules\Forms\components\forms-list\FormContextMenu.vue                                                      | vue        |         73 |          0 |          4 |         77 |
| c:\Users\danii\OneDrive\Desktop\diploma\testo-front\src\modules\Forms\components\forms-list\FormsListItem.vue                                                        | vue        |        118 |          0 |         17 |        135 |
| c:\Users\danii\OneDrive\Desktop\diploma\testo-front\src\modules\Forms\components\submissions-list\SubmissionContextMenu.vue                                          | vue        |         47 |          0 |          2 |         49 |
| c:\Users\danii\OneDrive\Desktop\diploma\testo-front\src\modules\Forms\components\submissions-list\SubmissionListItem.vue                                             | vue        |         92 |          0 |         10 |        102 |
| c:\Users\danii\OneDrive\Desktop\diploma\testo-front\src\modules\Forms\components\submit-form\SubmitFormBySteps.vue                                                   | vue        |        251 |          0 |         48 |        299 |
| c:\Users\danii\OneDrive\Desktop\diploma\testo-front\src\modules\Forms\components\submit-form\SubmitFormSimple.vue                                                    | vue        |        166 |          0 |         30 |        196 |
| c:\Users\danii\OneDrive\Desktop\diploma\testo-front\src\modules\Forms\components\submit-form\question-renderers\DetailedTextAnswerRenderer.vue                       | vue        |         53 |          0 |          5 |         58 |
| c:\Users\danii\OneDrive\Desktop\diploma\testo-front\src\modules\Forms\components\submit-form\question-renderers\MultipleOptionsAnswerRenderer.vue                    | vue        |        102 |          0 |          9 |        111 |
| c:\Users\danii\OneDrive\Desktop\diploma\testo-front\src\modules\Forms\components\submit-form\question-renderers\MultipleOptionsGridAnswerRenderer.vue                | vue        |        105 |          0 |          8 |        113 |
| c:\Users\danii\OneDrive\Desktop\diploma\testo-front\src\modules\Forms\components\submit-form\question-renderers\ShortTextAnswerRenderer.vue                          | vue        |         61 |          0 |          7 |         68 |
| c:\Users\danii\OneDrive\Desktop\diploma\testo-front\src\modules\Forms\components\submit-form\question-renderers\SingleOptionAnswerRenderer.vue                       | vue        |         97 |          0 |          6 |        103 |
| c:\Users\danii\OneDrive\Desktop\diploma\testo-front\src\modules\Forms\components\submit-form\question-renderers\SingleOptionGridAnswerRenderer.vue                   | vue        |        114 |          0 |          7 |        121 |
| c:\Users\danii\OneDrive\Desktop\diploma\testo-front\src\modules\Forms\components\submit-form\question-renderers\index.js                                             | JavaScript |         14 |          0 |          3 |         17 |
| c:\Users\danii\OneDrive\Desktop\diploma\testo-front\src\modules\Forms\components\view-forms\FormsTable.vue                                                           | vue        |         76 |          0 |          0 |         76 |
| c:\Users\danii\OneDrive\Desktop\diploma\testo-front\src\modules\Forms\components\view-forms\FormsTableFilters.vue                                                    | vue        |          0 |          0 |          1 |          1 |
| c:\Users\danii\OneDrive\Desktop\diploma\testo-front\src\modules\Forms\composables\useForm.js                                                                         | JavaScript |        116 |          0 |         18 |        134 |
| c:\Users\danii\OneDrive\Desktop\diploma\testo-front\src\modules\Forms\composables\useFormManager.js                                                                  | JavaScript |        120 |          0 |         25 |        145 |
| c:\Users\danii\OneDrive\Desktop\diploma\testo-front\src\modules\Forms\composables\useFormSubmitManager.js                                                            | JavaScript |        100 |          1 |         26 |        127 |
| c:\Users\danii\OneDrive\Desktop\diploma\testo-front\src\modules\Forms\composables\useSubmissions.js                                                                  | JavaScript |         19 |          0 |          5 |         24 |
| c:\Users\danii\OneDrive\Desktop\diploma\testo-front\src\modules\Forms\index.js                                                                                       | JavaScript |         14 |          0 |          1 |         15 |
| c:\Users\danii\OneDrive\Desktop\diploma\testo-front\src\modules\Forms\models\Form.js                                                                                 | JavaScript |         73 |          0 |         15 |         88 |
| c:\Users\danii\OneDrive\Desktop\diploma\testo-front\src\modules\Forms\models\FormQuestion.js                                                                         | JavaScript |         87 |         10 |         17 |        114 |
| c:\Users\danii\OneDrive\Desktop\diploma\testo-front\src\modules\Forms\models\FormSettings.js                                                                         | JavaScript |        131 |          3 |         29 |        163 |
| c:\Users\danii\OneDrive\Desktop\diploma\testo-front\src\modules\Forms\views\EditFormView.vue                                                                         | vue        |         25 |          0 |          3 |         28 |
| c:\Users\danii\OneDrive\Desktop\diploma\testo-front\src\modules\Forms\views\FormSubmitView.vue                                                                       | vue        |         32 |          0 |          4 |         36 |
| c:\Users\danii\OneDrive\Desktop\diploma\testo-front\src\modules\Forms\views\FormsListView.vue                                                                        | vue        |         14 |          0 |          0 |         14 |
| c:\Users\danii\OneDrive\Desktop\diploma\testo-front\src\modules\Forms\views\FormsView.vue                                                                            | vue        |          8 |          0 |          0 |          8 |
| c:\Users\danii\OneDrive\Desktop\diploma\testo-front\src\modules\Forms\views\NewFormView.vue                                                                          | vue        |         14 |          0 |          1 |         15 |
| c:\Users\danii\OneDrive\Desktop\diploma\testo-front\src\modules\Forms\views\SubmissionsListView.vue                                                                  | vue        |         14 |          0 |          1 |         15 |
| c:\Users\danii\OneDrive\Desktop\diploma\testo-front\src\plugins\eventBus.js                                                                                          | JavaScript |          7 |          0 |          2 |          9 |
| c:\Users\danii\OneDrive\Desktop\diploma\testo-front\src\plugins\i18n.js                                                                                              | JavaScript |         54 |          6 |         21 |         81 |
| c:\Users\danii\OneDrive\Desktop\diploma\testo-front\src\plugins\vuetify.js                                                                                           | JavaScript |         30 |          3 |          4 |         37 |
| c:\Users\danii\OneDrive\Desktop\diploma\testo-front\src\plugins\webfontloader.js                                                                                     | JavaScript |          8 |          5 |          3 |         16 |
| c:\Users\danii\OneDrive\Desktop\diploma\testo-front\src\router\index.js                                                                                              | JavaScript |          2 |          0 |          2 |          4 |
| c:\Users\danii\OneDrive\Desktop\diploma\testo-front\src\router\router.js                                                                                             | JavaScript |         54 |          2 |          8 |         64 |
| c:\Users\danii\OneDrive\Desktop\diploma\testo-front\src\services\apiService.js                                                                                       | JavaScript |         40 |          0 |         12 |         52 |
| c:\Users\danii\OneDrive\Desktop\diploma\testo-front\src\services\errorParser.js                                                                                      | JavaScript |          0 |          0 |          1 |          1 |
| c:\Users\danii\OneDrive\Desktop\diploma\testo-front\src\services\formManager\formField.js                                                                            | JavaScript |        175 |          0 |         44 |        219 |
| c:\Users\danii\OneDrive\Desktop\diploma\testo-front\src\services\formManager\formFieldSet.js                                                                         | JavaScript |         98 |          0 |         22 |        120 |
| c:\Users\danii\OneDrive\Desktop\diploma\testo-front\src\services\formManager\formManagerService.js                                                                   | JavaScript |        151 |          1 |         40 |        192 |
| c:\Users\danii\OneDrive\Desktop\diploma\testo-front\src\services\formManager\formValidators.js                                                                       | JavaScript |         18 |          0 |          5 |         23 |
| c:\Users\danii\OneDrive\Desktop\diploma\testo-front\src\services\loggerService.js                                                                                    | JavaScript |         36 |          2 |          8 |         46 |
| c:\Users\danii\OneDrive\Desktop\diploma\testo-front\src\services\requestService.js                                                                                   | JavaScript |         43 |          0 |         10 |         53 |
| c:\Users\danii\OneDrive\Desktop\diploma\testo-front\src\stores\applicationStore.js                                                                                   | JavaScript |         33 |          0 |         11 |         44 |
| c:\Users\danii\OneDrive\Desktop\diploma\testo-front\src\views\Submissions.vue                                                                                        | vue        |          0 |          0 |          1 |          1 |
| Total                                                                                                                                                                |            |      7,155 |        226 |      1,031 |      8,412 |
+----------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
